,city,country,lat,lng,temp,humidity,cloudiness,wind_speed
299,formoso do araguaia,br,-10.714581771553668,-52.628568826027916,86.98,57,32,3.51
300,san jose,gt,10.533880616904616,-92.32508239091264,83.29,100,56,3.51
301,yuncheng,cn,22.772886458266523,111.80276245587142,77.89,87,56,3.62
302,micheweni,tz,-5.464149711455697,44.80378636963072,77.08,100,100,17.83
303,piacabucu,br,-12.39249154671244,-34.12133163398952,76.99,100,32,10.22
304,redlands,us,39.11169187474745,-108.6597184163734,55.4,66,1,3.51
305,vorobyevka,ru,50.81815635119469,41.09983180105522,84.91,28,0,11.45
306,gweru,zw,-19.480471068914404,29.060895291581023,78.79,19,0,10.78
307,manaus,br,-1.1153449922078218,-59.495820911158646,95.35,45,0,2.73
308,college,us,69.61148411549992,-148.00201264134824,35.6,100,75,6.53
309,gorontalo,id,0.8115307798563542,121.97781994386528,70.96,100,92,1.39
310,caboolture,au,-26.97936693611372,152.7515105614259,68,82,0,17.22
311,saquarema,br,-23.479870305860835,-42.59229970584849,68.71,100,48,0.72
312,naron,es,47.18589922943553,-8.974517483343853,64.93,94,92,20.62
313,avdon,ru,54.712251163076594,55.57454434676513,77,50,40,11.18
314,mount gambier,au,-54.60965561996787,128.69988664830558,34.33,100,76,25.55
315,mitu,co,-0.422118374144943,-71.08331650864866,87.25,73,0,3.06
316,hilton head island,us,31.20192491295723,-79.62829969890059,83.56,100,0,9.55
317,marang,my,5.03398352776324,103.56985149538492,76.95,94,88,1.12
318,nangwa,tz,-4.387825242799739,35.402677199010895,69.43,53,32,4.74
319,sao geraldo do araguaia,br,-5.8554086872105815,-48.45226209812979,91.12,47,0,6.98
320,saint-pierre,pm,36.4263604755681,-53.68939016163573,80.86,100,0,16.71
321,beringovskiy,ru,51.14228067001396,177.80081493251288,49.09,100,0,4.07
322,aliwal north,za,-30.396082346276657,26.577687272330476,53.14,39,48,11.68
323,general pico,ar,-35.02579096865603,-63.08410279323423,57.64,63,0,4.63
324,norman wells,ca,73.34141315064197,-119.71165599209826,54.49,73,48,12.68
325,idlib,sy,35.862795789569475,36.59404211800053,91.4,46,0,25.28
326,mweka,cd,-4.2450260718121715,22.162147760245404,86.71,62,24,3.96
327,tabou,ci,-0.27488232152413916,-4.938595719615233,72.85,100,32,13.69
328,araouane,ml,20.21181209144812,-1.5074309516216289,111.19,15,44,11.23
329,kinna,se,57.38195264743411,12.827757047375087,66.2,68,40,11.41
330,sijunjung,id,-0.009747347833627407,101.92313921843876,78.16,88,92,0.16
331,manicore,br,-7.1624462292287845,-61.12003601450349,92.83,57,8,1.61
332,mazagao,br,0.43227463811994826,-53.19960290227396,91.84,51,0,4.63
333,turukhansk,ru,64.8144377691101,90.12080861326726,53.59,97,92,8.55
334,moroni,km,-11.761973939289058,43.50739053691088,80.6,69,40,3.36
335,monrovia,lr,-0.18936848993085786,-14.098833717446213,75.19,100,32,17.83
336,kintampo,gh,8.57358379375055,-1.6018861911719817,82.21,100,20,4.52
337,riyadh,sa,20.80573794855525,46.24990767261142,105.52,12,68,10
338,port moresby,pg,-9.244347448315747,147.25126912033443,69.25,98,0,0.16
339,coquimbo,cl,-29.177798888992296,-79.57623457780154,59.26,100,0,18.16
340,lagos,pt,37.0584229465266,-8.904847554206556,70.78,72,0,17.49
341,komsomolskiy,ru,67.87143173243285,175.45479627574176,36.85,93,36,3.4
